0.143455,-0.405070,-0.084748,0.111262,-0.316684,-0.012062,-0.113686,0.081924,0.214211,0.050775
0.080591,0.138980,0.095253,-0.006235,-0.143765,-0.179767,0.055081,-0.278599,0.105870,0.085474
-0.122144,0.014956,0.245287,0.315586,-0.595093,0.214999,-0.370544,0.180905,0.030110,-0.337731
0.149752,-0.270852,0.092581,0.065639,0.153531,0.147965,-0.333178,0.009325,0.065906,0.155301
0.109887,-0.213268,0.135054,-0.532760,0.212490,-0.170467,0.165812,0.184446,-0.559352,-0.047429
0.300197,-0.326305,0.226148,-0.438581,-0.294493,-0.447018,0.007236,-0.266702,0.286902,-0.056429
0.022348,-0.067147,-0.463311,-0.204447,-0.049302,0.291808,0.078959,-0.229467,0.184124,0.151218
-0.571852,-0.073139,-0.124141,-0.296785,0.186630,0.232800,-0.118855,0.274576,-0.394648,0.150087
-0.299210,0.015462,0.281028,0.182128,0.018500,0.037176,-0.279022,-0.444638,-0.439021,0.325167
-0.036809,-0.176636,0.291081,-0.150574,0.365517,-0.306734,0.011290,0.311053,-0.142863,-0.306988
0.043306,-0.245150,0.102675,0.228314,0.019991,0.099764,-0.202568,-0.261811,0.199056,0.033215
0.283122,-0.409856,0.216916,0.129819,-0.254379,-0.612684,0.337191,0.193954,-0.433330,0.219045
-0.330650,0.458076,0.005059,0.128724,0.551884,-0.559014,-0.336842,-0.018651,-0.479384,-0.585842
0.040814,-0.169975,-0.018844,-0.063778,0.052241,0.381894,0.079604,0.096476,-0.385269,-0.582111
-0.367668,0.134034,-0.673472,-0.498502,-0.049975,0.338669,0.189514,-0.276537,0.208012,0.121050
0.264718,-0.402712,0.151160,-0.107719,-0.483721,0.105475,-0.430832,0.220290,-0.100726,0.035013
-0.413385,0.124203,-0.319834,-0.100777,-0.207630,0.245476,-0.081874,0.209710,0.277185,0.262940
0.083596,-0.069076,0.232305,-0.133107,-0.169168,0.359982,-0.233158,-0.149108,-0.307875,-0.021208
-0.314403,-0.221978,0.108013,0.175132,0.089158,-0.279692,-0.230836,0.102045,0.178117,0.114901
-0.328471,0.156428,0.300038,-0.191999,-0.686544,0.290503,0.206173,-0.363770,-0.022761,0.023985
0.035590,0.400818,0.323617,-0.237451,-0.228036,-0.857771,-0.447561,-0.095800,0.013758,0.043038
-0.090224,-0.011625,0.199489,0.148293,0.183526,-0.448860,-0.510262,-0.033503,-0.108564,0.163362
